Point;Latitude;Longitude;Contexte;Integration;NORTAV;NORTNAV;NORTXAV;NORTRAV;NORTXQ90;NORTXQ10;NORTNQ10;NORTNQ90;NORTXND;NORTNND;NORTNHT;NORTXHWD;NORTNCWD;NORTNFD;NORTXFD;NORSD;NORTR;NORHDD;NORCDD;
11637;47.3758;0.9063;RCP8.5;H1;12.58;8.76;16.39;7.63;26.65;6.72;1.07;16.1;66;12;54;21;2;24;4;54;6;1979.31;273.36;
11638;47.3771;1.0122;RCP8.5;H1;12.35;8.59;16.11;7.52;26.41;6.42;0.88;15.91;67;12;55;21;1;25;5;50;5;2039.37;255.83;
11639;47.3783;1.1181;RCP8.5;H1;12.12;8.03;16.21;8.19;26.67;6.31;0.09;15.53;70;15;59;23;1;36;5;52;3;2114;247.94;
11640;47.3793;1.2241;RCP8.5;H1;12.17;8.06;16.28;8.22;26.75;6.37;0.12;15.57;71;15;59;23;1;35;5;53;3;2099.39;251.47;
11641;47.3803;1.33;RCP8.5;H1;12.09;7.82;16.36;8.54;26.93;6.34;-0.25;15.43;73;16;61;24;2;39;5;56;3;2131.78;254.59;
11642;47.3812;1.4359;RCP8.5;H1;12.06;7.81;16.3;8.5;26.91;6.31;-0.29;15.46;72;16;62;25;2;40;5;55;3;2142.23;253.18;
11643;47.3819;1.5419;RCP8.5;H1;12.11;7.84;16.38;8.54;26.99;6.38;-0.26;15.48;72;16;61;25;2;39;5;56;3;2127.82;256.75;
11644;47.3826;1.6478;RCP8.5;H1;12.1;7.81;16.38;8.57;27.01;6.4;-0.35;15.43;72;16;63;25;2;40;5;56;3;2130.85;256.34;
11645;47.3832;1.7538;RCP8.5;H1;12.16;7.92;16.4;8.48;26.99;6.42;-0.13;15.58;72;12;58;25;2;38;5;56;3;2126.51;271.35;
11646;47.3837;1.8597;RCP8.5;H1;12.21;7.95;16.47;8.52;27.07;6.48;-0.12;15.6;72;12;58;25;2;38;5;57;3;2112.28;275.31;
11647;47.3841;1.9657;RCP8.5;H1;12.18;7.93;16.42;8.49;27.04;6.44;-0.18;15.57;73;12;59;25;2;38;5;57;3;2121.68;272.92;
11648;47.3844;2.0716;RCP8.5;H1;12.06;7.86;16.26;8.4;26.86;6.32;-0.24;15.52;73;12;59;24;2;39;5;55;3;2152.28;265.09;
11649;47.3846;2.1776;RCP8.5;H1;12.2;7.95;16.44;8.48;27.29;6.08;-0.12;15.67;76;12;55;26;3;38;6;60;3;2133.2;288.07;
11650;47.3847;2.2835;RCP8.5;H1;11.97;7.79;16.15;8.36;27.09;5.81;-0.3;15.49;76;12;56;28;2;40;6;56;3;2193.58;269.64;
11651;47.3847;2.3895;RCP8.5;H1;11.73;7.62;15.84;8.22;26.79;5.55;-0.49;15.34;76;12;57;28;2;42;7;52;3;2259.78;253.25;
11652;47.3846;2.4955;RCP8.5;H1;11.28;7.37;15.18;7.8;26.27;4.86;-0.7;15.16;80;15;62;31;2;45;10;46;3;2376.37;211.58;
11653;47.3844;2.6014;RCP8.5;H1;11.18;7.29;15.07;7.78;26.18;4.77;-0.78;15.08;80;14;62;32;1;47;10;45;3;2401.78;204.1;
11654;47.3841;2.7074;RCP8.5;H1;11.41;7.47;15.35;7.89;26.46;5.02;-0.6;15.2;80;14;61;31;1;44;9;48;3;2335.24;216.99;
11655;47.3837;2.8133;RCP8.5;H1;11.66;7.71;15.62;7.91;26.66;5.25;-0.32;15.42;79;12;59;30;1;41;8;50;3;2270.05;239.69;
11656;47.3832;2.9193;RCP8.5;H1;12.05;7.86;16.25;8.39;27.1;5.92;-0.22;15.69;77;15;62;29;2;40;5;56;2;2153.63;258.88;
11657;47.3826;3.0252;RCP8.5;H1;11.8;7.67;15.93;8.25;26.76;5.65;-0.41;15.54;78;15;63;29;2;42;6;52;2;2224.05;240.83;
11658;47.382;3.1312;RCP8.5;H1;11.68;7.53;15.82;8.3;26.7;5.46;-0.64;15.47;78;16;62;29;2;45;6;51;2;2261.2;235.91;
11659;47.3812;3.2371;RCP8.5;H1;11.3;7.38;15.21;7.82;26.12;4.9;-0.79;15.39;80;16;63;30;2;47;8;45;3;2373.24;215.06;
11660;47.3803;3.343;RCP8.5;H1;11.51;7.62;15.4;7.78;26.32;5.08;-0.67;15.66;79;13;62;29;2;46;8;46;4;2326.49;241.61;
11661;47.3793;3.449;RCP8.5;H1;11.69;7.71;15.68;7.98;26.59;5.36;-0.48;15.54;79;15;61;29;1;42;7;50;3;2253.19;234.11;
11662;47.3783;3.5549;RCP8.5;H1;12.03;8.18;15.88;7.7;26.91;5.44;0.06;15.97;81;14;58;29;1;36;7;54;4;2166.1;263.97;
11663;47.3771;3.6608;RCP8.5;H1;11.79;7.98;15.59;7.62;26.65;5.2;-0.11;15.89;82;14;58;30;2;38;7;51;4;2238.91;252.18;
11664;47.3759;3.7668;RCP8.5;H1;11.65;7.84;15.45;7.61;26.51;5;-0.3;15.77;83;16;61;30;2;41;8;51;4;2276.54;240.51;
11665;47.3745;3.8727;RCP8.5;H1;11.55;7.54;15.56;8.02;26.83;4.65;-0.7;15.47;83;15;57;29;2;45;9;55;2;2315.34;240.48;
11666;47.373;3.9786;RCP8.5;H1;11.24;7.88;14.6;6.71;25.59;4.25;-0.34;16.03;83;14;61;31;3;40;10;41;7;2412.2;233.77;
11667;47.3715;4.0845;RCP8.5;H1;11.09;7.89;14.28;6.39;25.19;4.13;-0.36;16.06;83;15;64;30;3;42;11;37;9;2453.72;221.07;
11668;47.3698;4.1904;RCP8.5;H1;11.27;7.81;14.72;6.92;25.93;4.11;-0.49;15.98;82;14;58;28;2;42;11;45;6;2411.42;238.22;
11669;47.3681;4.2963;RCP8.5;H1;10.88;6.87;14.89;8.02;26.29;4.06;-1.17;14.69;86;16;61;33;3;52;11;48;1;2502.48;195.04;
11670;47.3663;4.4022;RCP8.5;H1;10.95;6.88;15.03;8.15;26.46;4.15;-1.18;14.68;86;16;61;33;3;52;10;50;1;2482.39;200.71;
11671;47.3643;4.5081;RCP8.5;H1;10.81;7.13;14.48;7.36;26.05;3.33;-1.15;15.25;83;14;55;29;1;53;14;46;3;2540.34;203.66;
11672;47.3623;4.6139;RCP8.5;H1;10.47;7.11;13.82;6.72;25.33;2.91;-1.14;15.37;83;14;57;29;1;53;15;38;3;2636.46;181.53;
11673;47.3601;4.7198;RCP8.5;H1;10.28;7.09;13.46;6.37;24.86;2.69;-1.18;15.43;82;14;58;30;2;54;16;35;3;2690.65;169.67;
11674;47.3579;4.8256;RCP8.5;H1;10.31;7.15;13.47;6.32;24.86;2.7;-1.14;15.5;82;14;58;30;1;54;15;34;4;2684.56;175.75;
11675;47.3556;4.9315;RCP8.5;H1;10.91;7.21;14.61;7.4;26.27;3.42;-1.2;15.46;82;13;56;30;1;53;12;48;4;2529.77;228.45;
11676;47.3532;5.0373;RCP8.5;H1;11.64;7.85;15.43;7.58;27.08;4.12;-0.78;16.36;82;13;59;30;0;47;9;57;8;2336.08;287.22;
11677;47.3506;5.1431;RCP8.5;H1;12.06;8.14;15.98;7.84;27.64;4.6;-0.51;16.7;79;13;59;29;0;44;8;63;9;2231.28;328.41;
11678;47.348;5.249;RCP8.5;H1;12.11;8.19;16.04;7.85;27.67;4.64;-0.46;16.75;77;13;58;29;1;43;8;64;10;2221.57;336.89;
11679;47.3453;5.3548;RCP8.5;H1;12.24;8.29;16.19;7.9;27.82;4.79;-0.36;16.83;77;13;58;29;1;42;7;66;10;2187.46;347.96;
11680;47.3425;5.4606;RCP8.5;H1;12.23;8.25;16.21;7.97;27.91;4.74;-0.48;16.79;78;14;58;29;0;43;7;66;9;2191.94;347.4;
11681;47.3396;5.5663;RCP8.5;H1;12.06;8.17;15.95;7.78;27.43;4.75;-0.28;16.54;80;11;52;31;1;40;7;63;7;2223.08;323.74;
11682;47.3366;5.6721;RCP8.5;H1;11.79;7.95;15.64;7.69;27.12;4.44;-0.54;16.35;80;11;54;32;1;44;7;58;7;2296.71;303.27;
11683;47.3335;5.7779;RCP8.5;H1;11.61;7.6;15.61;8.01;27.11;4.39;-0.78;15.89;85;16;59;33;1;47;8;58;2;2322.31;265.98;
11684;47.3303;5.8836;RCP8.5;H1;11.96;7.95;15.97;8.02;27.43;4.78;-0.38;16.21;83;16;57;32;1;42;6;62;3;2223.78;290.24;
11685;47.327;5.9894;RCP8.5;H1;11.79;7.84;15.74;7.9;27.2;4.52;-0.54;16.08;84;14;58;34;1;43;7;59;3;2271.28;279.17;
11686;47.3236;6.0951;RCP8.5;H1;11.55;7.75;15.35;7.6;26.82;4.16;-0.71;16.05;84;13;58;33;1;45;10;55;3;2336.74;260.77;
11687;47.3201;6.2008;RCP8.5;H1;11.51;7.74;15.28;7.55;26.74;4.12;-0.72;16.04;83;13;58;32;1;45;10;54;3;2346.98;257.71;
11688;47.3165;6.3065;RCP8.5;H1;11.36;7.75;14.98;7.23;26.35;3.87;-0.85;16.15;84;11;56;32;1;47;11;50;5;2402.66;260.22;
11689;47.3129;6.4121;RCP8.5;H1;11.08;7.43;14.73;7.3;26.24;3.47;-1.07;15.76;84;13;58;34;1;51;12;48;3;2466.85;224.35;
11690;47.3091;6.5178;RCP8.5;H1;10.71;7.2;14.21;7.01;25.68;3.03;-1.34;15.61;84;14;58;34;1;55;15;43;3;2571.86;199.57;
11691;47.3052;6.6235;RCP8.5;H1;10.01;6.9;13.11;6.21;24.53;2.11;-1.71;15.51;86;12;60;36;1;61;20;32;3;2795.2;175.28;
11692;47.3012;6.7291;RCP8.5;H1;10.15;6.97;13.32;6.35;24.81;2.2;-1.52;15.46;88;11;58;36;2;60;19;33;3;2752.17;181.72;
11693;47.2972;6.8347;RCP8.5;H1;9.89;6.85;12.93;6.08;24.37;1.94;-1.69;15.45;85;10;57;33;1;61;20;30;3;2826.56;165.32;
11748;47.3562;-2.4849;RCP8.5;H1;12.71;9.11;16.3;7.2;24.71;8.53;1.74;15.47;46;16;49;12;2;21;1;33;3;1832.51;188.3;
