Point;Latitude;Longitude;Contexte;Integration;NORPAV;NORPINT;NORRR;NORPFL90;NORRR1MM;NORPXCWD;NORPN20MM;NORPXCDD;
7079;45.0807;2.7936;RCP8.5;H1;3.7;9.23;1349.65;62.26;144.2;10;16;19;
7080;45.0802;2.8952;RCP8.5;H1;2.29;6.72;834.67;66.83;121;7;6;20;
7081;45.0796;2.9968;RCP8.5;H1;2.25;6.67;822.67;66.75;120.07;7;6;20;
7082;45.079;3.0983;RCP8.5;H1;2.25;6.42;823.02;65.63;124.53;7;6;20;
7083;45.0783;3.1999;RCP8.5;H1;2.63;6.87;959.05;62.59;136.13;8;7;20;
7084;45.0774;3.3015;RCP8.5;H1;2.37;6.33;865.89;62;132.2;8;6;20;
7085;45.0765;3.403;RCP8.5;H1;2.41;6.39;880.93;61.42;134.23;8;5;20;
7086;45.0755;3.5046;RCP8.5;H1;2.05;5.92;749.22;64.92;122;7;5;21;
7087;45.0744;3.6061;RCP8.5;H1;2.27;6.31;829.45;64.23;127.73;8;5;20;
7088;45.0731;3.7077;RCP8.5;H1;2.32;6.29;845.97;63.54;131.23;8;5;20;
7089;45.0718;3.8092;RCP8.5;H1;2.11;5.97;768.9;65.01;124.77;8;5;20;
7090;45.0704;3.9107;RCP8.5;H1;2.16;6.57;790.08;68.33;117.2;7;6;21;
7091;45.069;4.0123;RCP8.5;H1;2.21;6.27;807.93;66.04;124.8;8;6;21;
7092;45.0674;4.1138;RCP8.5;H1;2.78;7.41;1016.73;65.71;133.97;10;10;20;
7093;45.0657;4.2153;RCP8.5;H1;2.83;7.19;1033.51;63.57;140.27;9;10;20;
7094;45.0639;4.3168;RCP8.5;H1;2.58;6.98;940.64;66.65;131.07;9;9;20;
